"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2023","7,290.70","7,273.50","7,309.40","7,257.00","1.05B","0.24%"
"31/05/2023","7,273.50","7,387.30","7,387.30","7,273.50","2.26B","-1.54%"
"30/05/2023","7,387.30","7,395.10","7,403.80","7,382.00","943.49M","-0.11%"
"29/05/2023","7,395.10","7,334.50","7,436.40","7,334.50","838.50M","0.83%"
"26/05/2023","7,334.50","7,316.70","7,335.30","7,308.40","869.86M","0.24%"
"25/05/2023","7,316.70","7,392.90","7,392.90","7,309.10","1.15B","-1.03%"
"24/05/2023","7,392.90","7,447.40","7,447.40","7,388.00","913.43M","-0.73%"
"23/05/2023","7,447.40","7,450.70","7,476.40","7,447.40","917.12M","-0.04%"
"22/05/2023","7,450.70","7,471.50","7,475.60","7,437.10","928.31M","-0.28%"
"19/05/2023","7,471.50","7,427.00","7,482.80","7,427.00","1.03B","0.60%"
"18/05/2023","7,427.00","7,389.30","7,450.20","7,389.30","1.13B","0.51%"
"17/05/2023","7,389.30","7,424.10","7,424.10","7,350.20","972.50M","-0.47%"
"16/05/2023","7,424.10","7,460.50","7,470.80","7,424.10","1.05B","-0.49%"
"15/05/2023","7,460.50","7,453.20","7,460.50","7,429.70","893.69M","0.10%"
"12/05/2023","7,453.20","7,449.70","7,453.30","7,429.20","1.10B","0.05%"
"11/05/2023","7,449.70","7,452.30","7,463.50","7,428.80","1.11B","-0.03%"
"10/05/2023","7,452.30","7,456.70","7,459.70","7,432.20","948.22M","-0.06%"
"09/05/2023","7,456.70","7,472.10","7,472.10","7,436.90","1.05B","-0.21%"
"08/05/2023","7,472.10","7,413.30","7,487.00","7,413.30","1.09B","0.80%"
"05/05/2023","7,413.10","7,388.20","7,413.10","7,363.50","1.08B","0.34%"
"04/05/2023","7,388.20","7,389.00","7,393.20","7,336.60","1.02B","-0.01%"
"03/05/2023","7,389.00","7,459.80","7,459.80","7,350.90","1.14B","-0.95%"
"02/05/2023","7,459.80","7,523.90","7,526.00","7,441.70","1.03B","-0.86%"
"01/05/2023","7,524.20","7,501.00","7,559.30","7,501.00","1.01B","0.31%"
"28/04/2023","7,501.00","7,482.20","7,520.10","7,482.20","1.15B","0.25%"
"27/04/2023","7,482.20","7,502.80","7,510.30","7,465.10","909.46M","-0.27%"
"26/04/2023","7,502.80","7,512.20","7,512.20","7,472.60","1.14B","-0.13%"
"24/04/2023","7,512.20","7,523.00","7,523.00","7,498.30","832.23M","-0.14%"
"21/04/2023","7,523.00","7,555.40","7,555.40","7,509.50","1.05B","-0.43%"
"20/04/2023","7,555.40","7,561.30","7,569.10","7,539.60","1.09B","-0.08%"
"19/04/2023","7,561.30","7,557.50","7,571.90","7,552.80","966.70M","0.05%"
"18/04/2023","7,557.50","7,578.10","7,578.10","7,536.90","1.36B","-0.27%"
"17/04/2023","7,578.10","7,560.40","7,587.50","7,560.40","1.07B","0.23%"
"14/04/2023","7,560.40","7,520.70","7,561.90","7,514.20","1.03B","0.53%"
"13/04/2023","7,520.70","7,538.90","7,538.90","7,508.70","1.12B","-0.24%"
"12/04/2023","7,538.90","7,504.20","7,562.50","7,504.20","1.23B","0.46%"
"11/04/2023","7,504.20","7,412.00","7,516.60","7,412.00","1.16B","1.24%"
"06/04/2023","7,412.00","7,434.30","7,440.60","7,393.00","1.20B","-0.30%"
"05/04/2023","7,434.30","7,431.50","7,455.00","7,416.00","1.34B","0.04%"
"04/04/2023","7,431.50","7,416.40","7,434.00","7,406.10","1.14B","0.20%"
